"Rank","Name","Symbol","marketcap","price (USD)","country"
"1","BHP Group","BHP","128620806144","50.37","Australia"
"2","China Shenhua Energy","601088.SS","100056871479","5.22419","China"
"3","Rio Tinto","RIO","96100712448","58.47","United Kingdom"
"4","Southern Copper","SCCO","78436835328","97.55","United States"
"5","Zijin Mining","601899.SS","70364186007","2.66577","China"
"6","Newmont","NEM","63830544384","57.35","United States"
"7","Freeport-McMoRan","FCX","63365140480","44.12","United States"
"8","Agnico Eagle Mines","AEM","59980996608","119.06","Canada"
"9","Ma'aden","1211.SR","56396397091","14.5318","Saudi Arabia"
"10","Glencore","GLCNF","50205454336","4.15","Switzerland"
"11","Grupo México","GMBXF","47511117824","6","Mexico"
"12","Vale","VALE","42279792640","9.69","Brazil"
"13","Wheaton Precious Metals","WPM","41163034624","90.61","Canada"
"14","Bayan Resources","BYAN.JK","40140904768","1.20423","Indonesia"
"15","Barrick Gold","B","36181487616","21.03","Canada"
"16","Fortescue","FMG.AX","33323469342","10.823","Australia"
"17","Cameco","CCJ","33016205312","75.8","Canada"
"18","Polyus","PLZL.ME","32652468212","22.81","Russia"
"19","Anglo American","AAL.L","31754243260","29.7397","United Kingdom"
"20","Franco-Nevada","FNV","30280341504","157.05","Canada"
"21","Nutrien","NTR","29227069440","59.88","Canada"
"22","Coal India","COALINDIA.NS","27739462356","4.49648","India"
"23","Antofagasta","ANTO.L","24701648364","24.6135","United Kingdom"
"24","CMOC","3993.HK","23960484209","1.02173","China"
"25","AngloGold Ashanti","AU","23924490240","47.46","South Africa"
"26","Gold Fields","GFI","21858144256","24.27","South Africa"
"27","Nornickel","GMKN.ME","21561804884","1.35","Russia"
"28","Vedanta","VEDL.NS","20728378425","5.23591","India"
"29","China Coal Energy Company Limited","601898.SS","19067242979","1.55026","China"
"30","Kinross Gold","KGC","18905606144","15.41","Canada"
"31","Shandong Gold Mining","600547.SS","18770193552","4.37929","China"
"32","Teck Resources","TECK","18706489344","37.53","Canada"
"33","Northern Star","NST.AX","15265666469","10.6861","Australia"
"34","Yankuang Energy (Yanzhou Coal Mining)","600188.SS","14725454656","1.70375","China"
"35","China Northern Rare Earth (CNREHT)","600111.SS","14616729396","4.04328","China"
"36","Fresnillo","FNLPF","14450492416","19.61","Mexico"
"37","First Quantum Minerals","FM.TO","14137022967","16.9467","Canada"
"38","Kazatomprom","0ZQ.F","13884814760","44.0938","Kazakhstan"
